trip_trip_id,trip_route_id,trip_direction_id,trip_start_time,trip_start_date,trip_schedule_relationship,vehicle_id,vehicle_label,vehicle_license_plate,vehicle_wheelchair_accessible,position_latitude,position_longitude,position_bearing,position_odometer,position_speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status,occupancy_percentage,multi_carriage_details
VJ9af2f45c11b3690f1923e27dec20bc3872ffdde3,3624,0,21:24:00,20240209,0,3312,,,0,52.67520523071289,-2.4478759765625,359.0,0.0,0.0,34,,1,1707515959,0,0,0,
,,0,,,0,BUS_21,,,0,52.82331848144531,-2.1280150413513184,73.0,0.0,0.0,0,,2,1707579161,0,0,0,
,,0,,,0,122_PN09_ENJ,,,0,52.90442657470703,1.1055229902267456,359.0,0.0,0.0,0,,2,1707574664,0,0,0,
VJd7007a16c4a60fe86f5b30f9a894ed17ca0d085a,6060,0,15:05:00,20240210,0,FESX-33418,,,0,51.61518478393555,0.5253199934959412,215.0,0.0,0.0,22,,2,1707579158,0,0,0,
VJbfe24d7e368f6bd5d10796225105064bf5833249,4228,0,15:20:00,20240210,0,FESX-47525,,,0,51.52108383178711,0.5691530108451843,351.0,0.0,0.0,15,,2,1707579136,0,0,0,
,,0,,,0,6542_FN,,,0,52.83926773071289,1.0266640186309814,359.0,0.0,0.0,0,,2,1707495840,0,0,0,
,,0,,,0,FESX-47526,,,0,51.535884857177734,0.7156909704208374,359.0,0.0,0.0,0,,2,1707579158,0,0,0,
,,0,,,0,FESX-44546,,,0,51.73625946044922,0.4675300121307373,359.0,0.0,0.0,0,,2,1707576062,0,0,0,
,,0,,,0,30951,,,0,52.38612365722656,-2.250762939453125,359.0,0.0,0.0,0,,2,1707557125,0,0,0,
,,0,,,0,532-BV23_NUW,,,0,52.82013702392578,1.384526014328003,359.0,0.0,0.0,0,,2,1707579157,0,0,0,
,,0,,,0,YX22_OKD_334,,,0,52.02449417114258,0.2564209997653961,359.0,0.0,0.0,0,,2,1707504578,0,0,0,
VJ08a59a80e948acd9547d3e7b7cfd0a29a2558318,7276,0,14:30:00,20240210,0,533-SW63_TAV,,,0,52.81306457519531,1.3908179998397827,343.0,0.0,0.0,43,,2,1707579171,0,0,0,
,,0,,,0,79759,,,0,51.45806884765625,-0.4762877821922302,226.0,0.0,0.0,0,,2,1707492267,0,0,0,
,,0,,,0,541_-_YX22_OGH,,,0,52.66936111450195,-2.4259910583496094,225.0,0.0,0.0,0,,2,1707579148,0,0,0,
,,0,,,0,804,,,0,53.23528289794922,-1.9023059606552124,128.0,0.0,0.0,0,,2,1707578763,0,0,0,
VJ45f38a6669cbab2db94a952d5f47ef7a126b3bb9,18034,0,15:01:00,20240210,0,809_-_YX58_DVL,,,0,51.317665100097656,0.43351098895072937,56.0,0.0,0.0,25,,2,1707579154,0,0,0,
,,0,,,0,155_-_MX11_EGE,,,0,52.89972686767578,-1.8621890544891357,359.0,0.0,0.0,0,,2,1707498610,0,0,0,
VJ2f4f6d90dc090501d9edb70f56aad94ff29c0d9e,24133,0,15:13:00,20240210,0,8548VF,,,0,53.807376861572266,-1.4494409561157227,271.0,0.0,0.0,26,,2,1707579142,0,0,0,
,,0,,,0,BB14_BUS,,,0,52.45597839355469,1.4371800422668457,21.0,0.0,0.0,0,,2,1707579158,0,0,0,
VJ163442f26653a0153a12280c844f3d3bd0a4718f,59293,0,15:20:00,20240210,0,BB73_BUS,,,0,52.581138610839844,1.3794660568237305,113.0,0.0,0.0,8,,2,1707579123,0,0,0,
,,0,,,0,BUS_10,,,0,52.788307189941406,-2.107224941253662,109.0,0.0,0.0,0,,2,1707579125,0,0,0,
,,0,,,0,536_FN,,,0,52.76030349731445,1.1089149713516235,359.0,0.0,0.0,0,,2,1707468497,0,0,0,
VJ282fdb183e13a3d624924ee096ad8e3abbd9d6c4,22938,0,15:15:00,20240210,0,BUS_14,,,0,52.793235778808594,-2.13911509513855,116.0,0.0,0.0,19,,2,1707579093,0,0,0,
,,0,,,0,BUS_16,,,0,52.58995819091797,-2.554332971572876,139.0,0.0,0.0,0,,2,1707579020,0,0,0,
,,0,,,0,BUS_22,,,0,52.78350830078125,-2.122343063354492,21.0,0.0,0.0,0,,2,1707579158,0,0,0,
VJ5d12d1f939dacd43fed9c079be56051b9be901a6,4993,0,16:45:00,20240209,0,YJ54_UCA,,,0,51.16545104980469,-3.310626983642578,359.0,0.0,0.0,32,,2,1707502517,0,0,0,
VJ4518467ef7a494ab8f1a7559e0d55a1df1a78b28,51059,0,14:48:00,20240210,0,YD63VCF,,,0,53.43313980102539,-2.69792103767395,142.0,0.0,0.0,29,,2,1707578244,0,0,0,
,,0,,,0,BUS_24,,,0,52.64546203613281,-2.4610331058502197,77.0,0.0,0.0,0,,2,1707579135,0,0,0,
VJ8f03b77b651ce0736019bca5865dbcf58e466bef,22938,0,15:30:00,20240210,0,BUS_25,,,0,52.80752944946289,-2.121640920639038,359.0,0.0,0.0,2,,2,1707579160,0,0,0,
,,0,,,0,KN15XOS,,,0,51.1407356262207,-2.998594045639038,359.0,0.0,0.0,0,,2,1707485738,0,0,0,
VJf70a842b747f46a1e3c6680bc8b3a1ae19d8af8e,4180,0,15:05:00,20240209,0,FBRI-37350,,,0,51.454010009765625,-2.597381114959717,359.0,0.0,0.0,46,,2,1707499182,0,0,0,
VJad2c874f19f7b843d210c321e8254f718276ba6a,4799,0,14:25:00,20240210,0,FBRI-67099,,,0,51.22293472290039,-2.333575963973999,163.0,0.0,0.0,54,,2,1707579167,0,0,0,
,,0,,,0,549,,,0,52.942359924316406,-0.7937960028648376,359.0,0.0,0.0,0,,2,1707505886,0,0,0,
,,0,,,0,44_-_YJ56_WUT,,,0,53.05363464355469,-2.3018999099731445,359.0,0.0,0.0,0,,2,1707500249,0,0,0,
,,0,,,0,BK65_UBJ_-_20,,,0,50.839515686035156,0.16683000326156616,359.0,0.0,0.0,0,,2,1707485123,0,0,0,
,,0,,,0,545,,,0,53.038204193115234,-1.496420979499817,139.0,0.0,0.0,0,,2,1707579163,0,0,0,
,,0,,,0,54_-_LJ56_VSU,,,0,53.09178161621094,-2.441354990005493,177.0,0.0,0.0,0,,2,1707579163,0,0,0,
,,0,,,0,55_-_DG55_BUS,,,0,53.20820617675781,-2.4976279735565186,127.0,0.0,0.0,0,,2,1707579161,0,0,0,
,,0,,,0,0506,,,0,54.083984375,-0.18921999633312225,359.0,0.0,0.0,0,,2,1707563374,0,1,0,
,,0,,,0,56_-_DG56_BUS,,,0,53.191932678222656,-2.8685879707336426,359.0,0.0,0.0,0,,2,1707579130,0,0,0,
